,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Emerce.nl'}",Geert-Jan Smits,Wat zijn de kansen van één marktplaats voor deelvervoer?,"Alle opties voor deelvervoer in één app. Goed idee, zou je denken, maar waarom is die er dan niet. Een blik op de economische en technische realiteit.",https://www.emerce.nl/achtergrond/wat-zijn-de-kansen-van-een-marktplaats-voor-deelvervoer,https://www.emerce.nl/content/uploads/2023/10/frederic-christian-8OupPG4tQGY-unsplash.jpg,2023-10-13T04:22:32Z,"Alle opties voor deelvervoer fietsen, scooters, auto’s in één app. Goed idee, zou je denken, maar waarom is die er dan (nog?) niet. Een blik op de economische en technische realiteit.
De trend van b… [+6476 chars]"
1,"{'id': None, 'name': 'Trouw.nl'}",Maarten van Gestel,Klimaatconflicten aan de keukentafel: ‘Cheese is murder!’,Je bent veganist maar je partner houdt van spareribs. Of andersom: je klimaatbewuste dochter wordt boos als ze een ‘verspillend’ kadootje krijgt. A...,https://www.trouw.nl/duurzame-100/klimaatconflicten-aan-de-keukentafel-als-jullie-willen-vliegen-gaat-mama-wel-alleen-met-de-trein~bdef6c5f/,https://img.trouw.nl/a5f62b02abbee107ef71817723aaa2f307561736/klimaatconflicten-aan-de-keukentafel-als-jullie-willen-vliegen-gaat-mama-wel-alleen-met-de-trein,2023-10-05T13:40:57Z,"Je bent veganist maar je partner houdt van spareribs. Of andersom: je klimaatbewuste dochter wordt boos als ze een verspillend kadootje krijgt. Alledaagse klimaatconflicten kunnen op het werk, thuis,… [+13822 chars]"
2,"{'id': None, 'name': 'Www.bnr.nl'}",Floor Hoogstad,Autodeelfirma's bundelen de krachten,"Autodeelfirma's MyWheels, SHARE NOW, GreenMobility, SIXT share en SnappCar gaan samenwerken onder de naam Coalitie van Deelauto-aanbieders. Het doel is om de knelpunten van het concept autodelen weg te nemen. 'Autodelen is nog klein, maar niet per se geen suc…",https://www.bnr.nl/nieuws/mobiliteit/10527255/autodeelfirma-s-bundelen-de-krachten,"https://bnr-external-prod.imgix.net/TbiXmC-jd7RMZFTO3U-PPpZ2cxs.jpg?q=45&w=1500&auto=format,compress",2023-10-05T12:34:54Z,"Mobiliteit5 okt '23 14:34Auteur: Floor HoogstadAutodeelfirma's MyWheels, SHARE NOW, GreenMobility, SIXT share en SnappCar gaan samenwerken onder de naam Coalitie van Deelauto-aanbieders. Het doel is … [+1822 chars]"
3,"{'id': None, 'name': 'Nieuwsblad.be'}",jtp,Passagier van step stampt en bijt naar politie bij controle,"De Antwerpse politie heeft het afgelopen weekend bij verschillende verkeersacties meerdere overtredingen vastgesteld. Een duo op een step verzette zich bij een controle, de minderjarige passagier stampte en beet zelfs naar de politie.",https://www.nieuwsblad.be/cnt/dmf20231008_95129848,https://static.nieuwsblad.be/Assets/Images_Upload/2023/09/28/196cb7dc-1363-4514-b7db-7bf7922d001c.jpg?maxheight=460&maxwidth=638,2023-10-08T14:14:24Z,Het incident deed zich zaterdag voor tijdens een verkeersactie door het wijkteam van Deurne-Zuid. Een duo op een step werd staande gehouden. De passagier probeerde te vluchten voor de politie en stam… [+1656 chars]
4,"{'id': None, 'name': 'Www.gva.be'}",Sven Van Haezendonck,Burgerbeweging Klimaan breidt autodelen uit met elektrische Boris en Dina: “300 coöperanten kunnen ze gebruiken”,Lokale burgerbeweging Klimaan breidt haar vloot deelauto’s in Mechelen uit. Aan de Brusselpoort en in de Dennenstraat in de Colomawijk komen er nieuwe elektrische wagen. Na een bevraging onder Mechelaars kregen ze Boris en Dina als naam.,https://www.gva.be/cnt/dmf20231006_94011344,https://static.gva.be/Assets/Images_Upload/2023/10/06/1fa23c91-3725-4040-b8b4-f34e38eb06b5.jpg?maxheight=460&maxwidth=629,2023-10-06T11:03:32Z,Als burgercoöperatie streeft Klimaan naar een duurzame samenleving. De beweging realiseert daartoe projecten rond hernieuwbare energie en energie-efficiëntie. Samen met de stad wil Klimaan ook de dee… [+1805 chars]
5,"{'id': None, 'name': 'Nieuwsblad.be'}",nelo,Politie betrapt man op gestolen deelfiets,De Antwerpse politie hield bij een actie tegen overlast een fietser staande na verschillende verkeersinbreuken. De man bleek illegaal in het lang te verblijven. Hij reed rond op een deelfiets waarvan het slot geforceerd en het serienummer onleesbaar gemaakt w…,https://www.nieuwsblad.be/cnt/dmf20231031_92841146,https://static.nieuwsblad.be/Assets/Images_Upload/2023/10/31/711f5992-41d0-4a34-b10f-7e38d3c7c1d3.jpg?maxheight=460&maxwidth=638,2023-10-31T07:51:00Z,De regiowerking Centrum en het fietsteam Orida hebben woensdag een actie tegen overlast in de omgeving van de Teniersplaats. Het fietsteam kreeg een fietser in de gaten die druk aan het bellen was en… [+1028 chars]
6,"{'id': None, 'name': 'Nieuwsblad.be'}",nelo,Veelpleger voor zoveelste keer betrapt op winkeldiefstal,De Antwerpse politie betrapte dinsdag een winkeldief op stelen in een brillenwinkel. De man is gekend voor meer dan dertig feiten en was vrij onder voorwaarden.,https://www.nieuwsblad.be/cnt/dmf20231011_93210885,https://static.nieuwsblad.be/Assets/Images_Upload/2023/10/11/10644003-6a09-4865-b532-2bdfd6c106fb.jpg?maxheight=460&maxwidth=638,2023-10-11T08:52:00Z,"Het team winkeldiefstallen merkte dinsdag een gekende winkeldief op. De man reed rond op een deelfiets en ging een winkel op de Meir binnen, vertelt Willem Migom, woordvoerder van de Antwerpse politi… [+624 chars]"
7,"{'id': None, 'name': 'Nieuwsblad.be'}",lava,De Lijn past dienstregeling aan tijdens Antwerp Marathon,"Duizenden lopers rennen zondag doorheen de stad tijdens de derde editie van de Antwerp Marathon. De sportievelingen kronkelen doorheen de stad en passeren onder meer het Havenhuis, het Centraal Station en het Schoonselhof. Om het evenement zo soepel en zorgel…",https://www.nieuwsblad.be/cnt/dmf20231018_93420103,https://static.nieuwsblad.be/Assets/Images_Upload/2023/10/18/c197c45d-5ea1-4f1e-a7f9-de0a38d93947.jpg?maxheight=460&maxwidth=638,2023-10-18T09:30:00Z,"De duizenden deelnemers lokken wellicht ook duizenden supporters naar de stad. Fans die met de wagen naar Antwerpen komen, maken volgens De Lijn best gebruik van de gratis park-and-ride (P+R) locatie… [+830 chars]"
8,"{'id': None, 'name': 'Www.ad.nl'}",Sander van der Werff,Politie: slachtoffer scooterongeluk was niet onder invloed,Het is nog een raadsel waardoor Rosella Lindeman (24) zaterdagochtend met haar deelscooter tegen een bankje is gebotst in de middenberm van de Blaak. De Rotterdamse overleed nog dezelfde dag in het ziekenhuis. De politie heeft geen aanwijzingen dat zij onder …,https://www.ad.nl/rotterdam/politie-slachtoffer-scooterongeluk-was-niet-onder-invloed~a6f624b3/,https://images0.persgroep.net/rcs/ssujfH8qCwNyOPy2xph__h1Ljao/diocontent/236573341/_fill/1200/630/?appId=21791a8992982cd8da851550a453bd7f&quality=0.7,2023-10-16T19:31:12Z,Het is nog een raadsel waardoor Rosella Lindeman (24) zaterdagochtend met haar deelscooter tegen een bankje is gebotst in de middenberm van de Blaak. De Rotterdamse overleed nog dezelfde dag in het z… [+96 chars]
9,"{'id': None, 'name': 'Www.ad.nl'}",Adrianne de Koning,Gamen om te leren over gevaren van criminelen die jongeren ronselen: ‘Kunt niet vroeg genoeg beginnen’,"Onder meer met het spelen van spelletjes leren kinderen in het nieuwe project Rotterdam Protected al jong over de gevaren van criminelen die hen online proberen te ronselen. Om zo hun bankrekening te kunnen gebruiken, of het account van hun deelscooter. Of om…",https://www.ad.nl/rotterdam/gamen-om-te-leren-over-gevaren-van-criminelen-die-jongeren-ronselen-kunt-niet-vroeg-genoeg-beginnen~a755aa96/,https://images0.persgroep.net/rcs/EHyHaZ5luvBHWtIpNfV-ZfnK-10/diocontent/236575119/_focus/0.4/0.37/_fill/1200/630/?appId=21791a8992982cd8da851550a453bd7f&quality=0.7,2023-10-18T13:00:05Z,Onder meer met het spelen van spelletjes leren kinderen in het nieuwe project Rotterdam Protected al jong over de gevaren van criminelen die hen online proberen te ronselen. Om zo hun bankrekening te… [+164 chars]
